"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E8160","E",8160,"FUNGI","ASCOMYCOTINA","PYRENOMYCETES","CLAVICIPITALES",,,
"E8170","E",8170,"FUNGI","ASCOMYCOTINA","PYRENOMYCETES","DIAPORTHALES",,,
"E8180","E",8180,"FUNGI","ASCOMYCOTINA","PYRENOMYCETES","ERYSIPHALES",,,
"E8190","E",8190,"FUNGI","ASCOMYCOTINA","PYRENOMYCETES","SORDARIALES",,,
"E8200","E",8200,"FUNGI","ASCOMYCOTINA","PYRENOMYCETES","HYPOCREALES",,,
"E8205","E",8205,"FUNGI","ASCOMYCOTINA","PYRENOMYCETES","POLYSTIGMATALES",,,
"E8250","E",8250,"FUNGI","BASIDIOMYCOTINA",,,,,
"E8300","E",8300,"FUNGI","DEUTEROMYCOTINA (IMPERFECT FUNGI)",,,,,
"E8350","E",8350,"FUNGI","MASTIGOMYCOTINA","CHYTRIDIOMYCETES",,,,
"E8400","E",8400,"FUNGI","MASTIGOMYCOTINA","OOMYCETES",,,,
"E8500","E",8500,"FUNGI","ZYGOMYCOTINA","ZYGOMYCETES",,,,
"E8600","E",8600,"PLANTA","PHYCOPHYTA","NOT YET CLASSIFIED",,,,
"E8610","E",8610,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","VOLVOCALES","DUNALIELLACEAE",,
"E8620","E",8620,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","VOLVOCALES","CHLAMYDOMONADACEAE",,
"E8630","E",8630,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","VOLVOCALES","VOLVOCACEAE",,
"E8640","E",8640,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","CHLOROCOCCALES","OOCYSTACEAE",,
"E8650","E",8650,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","CHLOROCOCCALES","SCENEDESMACEAE",,
"E8670","E",8670,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","ULVALES","ULVACEAE",,
"E8680","E",8680,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","COLEOCHAETALES","COLEOCHAETACEAE",,
"E8690","E",8690,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","BRYOPSIDALES","BRYOPSIDACEAE",,
"E8700","E",8700,"PLANTA","PHYCOPHYTA","CHLOROPHYCEAE (GREEN ALGAE)","DASYCLADALES","DASYCLADACEAE",,
"E8720","E",8720,"PLANTA","PHYCOPHYTA","CHRYSOPHYCEAE (GOLDEN ALGAE)",,,,
"E8730","E",8730,"PLANTA","PHYCOPHYTA","CRYPTOPHYCEAE",,,,
"E8740","E",8740,"PLANTA","PHYCOPHYTA","DINOPHYCEAE",,,,
"E8750","E",8750,"PLANTA","PHYCOPHYTA","EUGLENOPHYCEAE",,,,
"E8760","E",8760,"PLANTA","PHYCOPHYTA","GLAUCOPHYCEAE",,,,
"E8770","E",8770,"PLANTA","PHYCOPHYTA","PHAEOPHYCEAEA (BROWN ALGAE)",,,,
"E8780","E",8780,"PLANTA","PHYCOPHYTA","PYRRHOPHYCEAE",,,,
"E8790","E",8790,"PLANTA","PHYCOPHYTA","RHODOPHYCEAE (RED ALGAE)",,,,
"E8800","E",8800,"PLANTA","PHYCOPHYTA","XANTHOPHYCEAE (YELLOW-GREEN ALGAE)",,,,
"E8810","E",8810,"PLANTA","PHYCOPHYTA","BACILLARIOPHYTA (DIATOMS)",,,,
"E8910","E",8910,"PLANTA","EMBRYOPHYTA","BRYOPHYTA","HEPATICOPSIDA",,,
"E8920","E",8920,"PLANTA","EMBRYOPHYTA","BRYOPHYTA","BRYOPSIDA",,,
"E8930","E",8930,"PLANTA","EMBRYOPHYTA","EQUISETOPHYTA","SPHENOPSIDA",,,
"E8940","E",8940,"PLANTA","EMBRYOPHYTA","FILICOPHYTA",,,,
"E9000","E",9000,"PLANTA","EMBRYOPHYTA","CONIFEROPHYCEAE",,,,
"E9100","E",9100,"PLANTA","EMBRYOPHYTA","GYMNOSPERMAE",,,,
"E9150","E",9150,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","NOT YET CLASSIFIED",,
"E9170","E",9170,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","MAGNOLIALES","MAGNOLIACEAE",
